path,label,split,bytes,sha256
F_Normal/FN_247.png,F_Normal,train,660083,c2136d659272fdf4156040a7f5eca431e1bc4e8066c7236f2173ccb3a934f98f
F_Normal/FN_444.png,F_Normal,train,1040205,e4f1a206c6a1b02ae4acfaa27c6d6561733f7c6cd692b9c7ea76dd7a624e9b53
F_Normal/FN_14.jpg,F_Normal,train,168445,5250e1ba88d3926541412c16bc7a4e71cb416b26578944e5e54f1b43793aa213
F_Normal/FN_24.jpg,F_Normal,train,143189,e02c272b1619b667ac1641a752bfad348903ee3247936e5bf7a7e99430087757
F_Normal/FN_147.png,F_Normal,train,1494801,21c4f29622b097e67e6802f24db2e3e3f85d59abe7f09f4bf399248a77bf2fda
F_Normal/FN_164.png,F_Normal,train,1097037,8330c9cb9fa10327d4d557f3b158046d835b6fed35141d7db6cdd4b93292dfcb
F_Normal/FN_383.png,F_Normal,train,948265,d1d9a192937e818564689b36e261773f7ec48ff9e5a7f5eff092a808f9915e5d
F_Normal/FN_288.png,F_Normal,train,951299,063fae997191d2c562b47c0f9b9408725db35ecedcbe67aaebc360fe2e634b96
F_Normal/FN_166.png,F_Normal,train,1066903,a46c15b4ca3aed756caaa83197334a2613edeac48f2cc4e283a5423cf1e53072
F_Normal/FN_4.jpg,F_Normal,train,325613,11550bde6772766baf92ebd2eb0d083b81cd7f02ec1ef627d684241ed484eaa6
F_Normal/FN_462.png,F_Normal,train,1086995,48791e689dd44a0aaf4cc92f61fec4a40c1496b12b3c296783a2536a8b51cb20
F_Normal/FN_473.png,F_Normal,train,664583,9efa0ede8e23065bc4a9d2d42bd28ca2de2b417be7e73f7bdcb458fd84f3e104
F_Normal/FN_182.png,F_Normal,train,889620,381b92d56aa6d97c064172b6ab0b3e49e7ed1a7b832b48d70356d9a9353ff8e9
F_Normal/FN_293.png,F_Normal,train,605314,956d33a64714991f8828f1e3086743998bf53c23ff39f2811e1c9d3f7bef94a4
F_Normal/FN_80.jpg,F_Normal,train,272005,5741a8eafb694a361d2082a60bb115d20437b76ab5743a1f4a5aca8136d5fecf
F_Normal/FN_152.png,F_Normal,train,1101671,c6b6ae27e4156fe5278778bf55e3b2da230561714162d5abe948c3ed2452474f
F_Normal/FN_430.png,F_Normal,train,1575098,cee337ce57bc5ad5da5da4c2e4441fd1e2581522d52ae93da5cd2c99d00d303b
F_Normal/FN_246.png,F_Normal,train,944822,d83e00a1dd9a04b3edb78f980a212aaf3d013ba3b58ee8f256256a21e62f3969
F_Normal/FN_289.png,F_Normal,train,668493,3e5080b69b2af7b4f78535b293669e5a9202003263da709f2a5f3f41434e7d19
F_Normal/FN_325.jpg,F_Normal,train,378075,d6612a6dbeab7aadc037cce62edf20c39b43982458f278a1becf64e949639a40
F_Normal/FN_499.png,F_Normal,train,1042813,f709c9bdd6511a504f94a4ef350f01ae5669077e8582c35bce651ed55d581dcd
F_Normal/FN_388.png,F_Normal,train,970135,6b0859d9f41aa75fabcc60f69af47215c8f99339e5f8c59ef70ee4ab6ba703e7
F_Normal/FN_36.jpg,F_Normal,train,55460,608b6593fd8f2b7641cd3d0c237a5a6e6b5f40b533f464f7ca0099bf280c9a6e
F_Normal/FN_45.jpg,F_Normal,train,151668,bcc33ab7db32d7b13fb057f7970f3a454bf16005aa022f52f00e47f479e81a09
F_Normal/FN_105.jpg,F_Normal,train,125267,9f896247f7dc30765de0070933684227b56864f1eb0911107ef92e96f47aa63f
F_Normal/FN_65.jpg,F_Normal,train,122910,a16859d7b87397be4cb6bfd447dd88f98869d4763a6e38232b135bac899807b0
F_Normal/FN_323.png,F_Normal,train,840910,3ac7925927607ebcd7a764daca94fb66ec8a7f90f35d80210cd554b7281b763c
F_Normal/FN_304.png,F_Normal,train,1094395,dc45c7b50638938bc04c94e2579f69486dfadcf3b109b8aca121e902c1e5e7e4
F_Normal/FN_32.jpg,F_Normal,train,139061,b62574e666b50b984196688288c74f0fa9ba14c09dbea1967ef386e449d2a581
F_Normal/FN_29.jpg,F_Normal,train,126623,54cb0ea1f447985c1b0234371ee3255d68e74caefc7f61c542c398bc71dde6c5
F_Normal/FN_215.png,F_Normal,train,1049664,62263689e3091c52767b73d1332b73ee9d1a0ce50f3b5da90a11e3bd0d76d217
F_Normal/FN_245.png,F_Normal,train,926572,7f32891c2719fee0fcd0b92baa59609ff46dfeaae9367d0e243ab19938dbd6f2
F_Normal/FN_30.jpg,F_Normal,train,226110,fa24e090e9bcfad935d130c915bb40a4bd1ca260c0bb5005771602635c9171dc
F_Normal/FN_136.jpg,F_Normal,train,257951,06bf053d6c7fa905c722b10038699e649fe757856bbddc5164a6987a942486f1
F_Normal/FN_35.jpg,F_Normal,train,27851,fca687623595fc4a96ab3f19744921978ad2cfb7b43099707c079216e2be1345
F_Normal/FN_118.jpg,F_Normal,train,103269,1e0c3b1b2cb3b721a4df04f726ee201d8ec9f4457d1c872538513f5faf3fa176
F_Normal/FN_490.png,F_Normal,train,1130319,4cf426d292254dbf52c122b1bc51ad00ceb0878e6922e19a1b55bf4a1d60dd21
